title,filename,category,subject,id,prompt,negativePrompt,lora
Retail,00332-Retail.jpg,Ads,Éclair,pastry,"Retail packaging style a single caramel éclair on a fancy plate, fine pastry . Vibrant, enticing, commercial, product-focused, eye-catching, professional, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",,""
Abstract,00333-Abstract.jpg,Artstyle,Éclair,pastry,"Abstract style a single caramel éclair on a fancy plate, fine pastry . Non-representational, colors and shapes, expression of feelings, imaginative, highly detailed","realistic, photographic, figurative, concrete",,""
Abstract Expressionism,00334-Abstract Expressionism.jpg,Artstyle,Éclair,pastry,"abstract expressionist painting a single caramel éclair on a fancy plate, fine pastry . energetic brushwork, bold colors, abstract forms, expressive, emotional","realistic, photorealistic, low contrast, plain, simple, monochrome",,""
Art Deco,00335-Art Deco.jpg,Artstyle,Éclair,pastry,"Art Deco style a single caramel éclair on a fancy plate, fine pastry . geometric shapes, bold colors, luxurious, elegant, decorative, symmetrical, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, modernist, minimalist",,""
Art Nouveau,00336-Art Nouveau.jpg,Artstyle,Éclair,pastry,"Art Nouveau style a single caramel éclair on a fancy plate, fine pastry . elegant, decorative, curvilinear forms, nature-inspired, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, modernist, minimalist",,""
Avant-garde,00337-Avant-garde.jpg,Artstyle,Éclair,pastry,"Avant-garde, a single caramel éclair on a fancy plate, fine pastry, unusual, experimental, avant-garde art","ugly, deformed, noisy, blurry, low contrast",,""
Baroque,00338-Baroque.jpg,Artstyle,Éclair,pastry,"Baroque, a single caramel éclair on a fancy plate, fine pastry, dramatic, exuberant, grandeur, baroque art","ugly, deformed, noisy, blurry, low contrast",,""
Bauhaus-Style Poster,00339-Bauhaus-Style Poster.jpg,Artstyle,Éclair,pastry,"Bauhaus-Style Poster, a single caramel éclair on a fancy plate, fine pastry, simple geometric shapes, clean lines, primary colors, Bauhaus-Style Poster","ugly, deformed, noisy, blurry, low contrast",,""
Caricature,00340-Caricature.jpg,Artstyle,Éclair,pastry,"Caricature, a single caramel éclair on a fancy plate, fine pastry, exaggerated, comical, caricature","ugly, deformed, noisy, blurry, low contrast, realistic",,""
Cel Shading,00341-Cel Shaded Art.jpg,Artstyle,Éclair,pastry,"Cel Shaded Art, a single caramel éclair on a fancy plate, fine pastry, 2D, flat color, toon shading, cel shaded style","ugly, deformed, noisy, blurry, low contrast",,""
Character Design,00342-Character Design Sheet.jpg,Artstyle,Éclair,pastry,"Character Design Sheet, a single caramel éclair on a fancy plate, fine pastry, character reference sheet, character turn around","ugly, deformed, noisy, blurry, low contrast",,""
Color Field Painting,00343-Color Field Painting.jpg,Artstyle,Éclair,pastry,"Color Field Painting, a single caramel éclair on a fancy plate, fine pastry, abstract, simple, geometic, color field painting style","ugly, deformed, noisy, blurry, low contrast",,""
Conceptual Art,00344-Conceptual Art.jpg,Artstyle,Éclair,pastry,"Conceptual Art, a single caramel éclair on a fancy plate, fine pastry, concept art","ugly, deformed, noisy, blurry, low contrast",,""
Crayon,00345-Crayon.jpg,Artstyle,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:crayons_v1_sdxl:1>","",,"Crayon Style"
Cubist,00346-Cubist.jpg,Artstyle,Éclair,pastry,"Cubist artwork a single caramel éclair on a fancy plate, fine pastry . Geometric shapes, abstract, innovative, revolutionary","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Dadaism,00347-Dadaism.jpg,Artstyle,Éclair,pastry,"Dadaism Art, a single caramel éclair on a fancy plate, fine pastry, satirical, nonsensical, dadaism art","ugly, deformed, noisy, blurry, low contrast",,""
Dali,00348-Dali.jpg,Artstyle,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:dali:1> d4lixl","",,"Salvador Dali SDXL 1.0 art style lora"
Dark Fantasy,00349-Dark Fantasy.jpg,Artstyle,Éclair,pastry,"Dark Fantasy Art, a single caramel éclair on a fancy plate, fine pastry, dark, moody, dark fantasy style","ugly, deformed, noisy, blurry, low contrast, bright, sunny",,""
Expressionist,00350-Expressionist.jpg,Artstyle,Éclair,pastry,"expressionist a single caramel éclair on a fancy plate, fine pastry . raw, emotional, dynamic, distortion for emotional effect, vibrant, use of unusual colors, detailed","realism, symmetry, quiet, calm, photo",,""
Fauvism,00351-Fauvism.jpg,Artstyle,Éclair,pastry,"Fauvism Art, a single caramel éclair on a fancy plate, fine pastry, painterly, bold colors, textured brushwork, fauvism art","ugly, deformed, noisy, blurry, low contrast",,""
Folk Art,00352-Folk Art.jpg,Artstyle,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:folk-art:1> Folk Art page","",,"Folk Art"
Graffiti,00353-Graffiti.jpg,Artstyle,Éclair,pastry,"Graffiti style a single caramel éclair on a fancy plate, fine pastry . Street art, vibrant, urban, detailed, tag, mural","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Hyperrealism,00354-Hyperrealism.jpg,Artstyle,Éclair,pastry,"Hyperrealistic art a single caramel éclair on a fancy plate, fine pastry . Extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike","simplified, abstract, unrealistic, impressionistic, low resolution",,""
Impressionist,00355-Impressionist.jpg,Artstyle,Éclair,pastry,"Impressionist painting a single caramel éclair on a fancy plate, fine pastry . Loose brushwork, vibrant color, light and shadow play, captures feeling over form","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Ink Dripping,00356-Ink Dripping Drawing.jpg,Artstyle,Éclair,pastry,"Ink Dripping Drawing, a single caramel éclair on a fancy plate, fine pastry, ink drawing, dripping ink","ugly, deformed, noisy, blurry, low contrast, colorful, vibrant",,""
Japanese Ink,00357-Japanese Ink Drawing.jpg,Artstyle,Éclair,pastry,"Japanese Ink Drawing, a single caramel éclair on a fancy plate, fine pastry, ink drawing, inkwash, Japanese Ink Drawing","ugly, deformed, noisy, blurry, low contrast, colorful, vibrant",,""
John Berkey,00358-John Berkey.jpg,Artstyle,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:john-berkey:1> John Berkey Style page","",,"John Berkey Style"
Junji Ito,00359-Junji Ito.jpg,Artstyle,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:XL_itoStyleLycoris:1>","",,"Junji Ito Style (XL)"
Pointillism,00361-Pointillism.jpg,Artstyle,Éclair,pastry,"Pointillism style a single caramel éclair on a fancy plate, fine pastry . Composed entirely of small, distinct dots of color, vibrant, highly detailed","line drawing, smooth shading, large color fields, simplistic",,""
Pop Art,00362-Pop Art.jpg,Artstyle,Éclair,pastry,"Pop Art style a single caramel éclair on a fancy plate, fine pastry . Bright colors, bold outlines, popular culture themes, ironic or kitsch","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, minimalist",,""
Psychedelic,00363-Psychedelic.jpg,Artstyle,Éclair,pastry,"Psychedelic style a single caramel éclair on a fancy plate, fine pastry . Vibrant colors, swirling patterns, abstract forms, surreal, trippy","monochrome, black and white, low contrast, realistic, photorealistic, plain, simple",,""
Renaissance,00364-Renaissance.jpg,Artstyle,Éclair,pastry,"Renaissance style a single caramel éclair on a fancy plate, fine pastry . Realistic, perspective, light and shadow, religious or mythological themes, highly detailed","ugly, deformed, noisy, blurry, low contrast, modernist, minimalist, abstract",,""
Steampunk,00365-Steampunk.jpg,Artstyle,Éclair,pastry,"Steampunk style a single caramel éclair on a fancy plate, fine pastry . Antique, mechanical, brass and copper tones, gears, intricate, detailed","deformed, glitch, noisy, low contrast, anime, photorealistic",,""
Surrealist,00366-Surrealist.jpg,Artstyle,Éclair,pastry,"Surrealist art a single caramel éclair on a fancy plate, fine pastry . Dreamlike, mysterious, provocative, symbolic, intricate, detailed","anime, photorealistic, realistic, deformed, glitch, noisy, low contrast",,""
Terrible FanArt,00367-Terrible FanArt.jpg,Artstyle,Éclair,pastry,"<lora:terrible-fanart:0.8> PETerribleFanArt, badly drawn, terrible drawing, ugly, creepy, a single caramel éclair on a fancy plate, fine pastry","",,"PE Shitty FanArt"
Typography,00368-Typography.jpg,Artstyle,Éclair,pastry,"Typographic art a single caramel éclair on a fancy plate, fine pastry . Stylized, intricate, detailed, artistic, text-based","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Watercolor,00369-Watercolor.jpg,Artstyle,Éclair,pastry,"Watercolor painting a single caramel éclair on a fancy plate, fine pastry . Vibrant, beautiful, painterly, detailed, textural, artistic","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Biomechanical,00370-Biomechanical.jpg,Futuristic,Éclair,pastry,"biomechanical style a single caramel éclair on a fancy plate, fine pastry . blend of organic and mechanical elements, futuristic, cybernetic, detailed, intricate","natural, rustic, primitive, organic, simplistic",,""
Biomechanical Cyberpunk,00371-Biomechanical Cyberpunk.jpg,Futuristic,Éclair,pastry,"biomechanical cyberpunk a single caramel éclair on a fancy plate, fine pastry . cybernetics, human-machine fusion, dystopian, organic meets artificial, dark, intricate, highly detailed","natural, colorful, deformed, sketch, low contrast, watercolor",,""
Cybernetic,00372-Cybernetic.jpg,Futuristic,Éclair,pastry,"cybernetic style a single caramel éclair on a fancy plate, fine pastry . futuristic, technological, cybernetic enhancements, robotics, artificial intelligence themes","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval",,""
Cybernetic Robot,00373-Cybernetic Robot.jpg,Futuristic,Éclair,pastry,"cybernetic robot a single caramel éclair on a fancy plate, fine pastry . android, AI, machine, metal, wires, tech, futuristic, highly detailed","organic, natural, human, sketch, watercolor, low contrast",,""
Cyberpunk Cityscape,00374-Cyberpunk Cityscape.jpg,Futuristic,Éclair,pastry,"cyberpunk cityscape a single caramel éclair on a fancy plate, fine pastry . neon lights, dark alleys, skyscrapers, futuristic, vibrant colors, high contrast, highly detailed","natural, rural, deformed, low contrast, black and white, sketch, watercolor",,""
Futuristic,00375-Futuristic.jpg,Futuristic,Éclair,pastry,"futuristic style a single caramel éclair on a fancy plate, fine pastry . sleek, modern, ultramodern, high tech, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vintage, antique",,""
Glitchcore,00376-Glitchcore.jpg,Futuristic,Éclair,pastry,"Glitchcore Art Style, a single caramel éclair on a fancy plate, fine pastry, dynamic, dramatic, distorted, vibrant colors, glitchcore art style","ugly, deformed, noisy, blurry, low contrast",,""
Glo-fi,00377-Glo-fi.jpg,Futuristic,Éclair,pastry,"Glo-fi Art Style, a single caramel éclair on a fancy plate, fine pastry, dynamic, dramatic, vibrant colors, glo-fi art style","ugly, deformed, noisy, blurry, low contrast",,""
Retro Cyberpunk,00378-Retro Cyberpunk.jpg,Futuristic,Éclair,pastry,"retro cyberpunk a single caramel éclair on a fancy plate, fine pastry . 80's inspired, synthwave, neon, vibrant, detailed, retro futurism","modern, desaturated, black and white, realism, low contrast",,""
Retro Futurism,00379-Retro Futurism.jpg,Futuristic,Éclair,pastry,"retro-futuristic a single caramel éclair on a fancy plate, fine pastry . vintage sci-fi, 50s and 60s style, atomic age, vibrant, highly detailed","contemporary, realistic, rustic, primitive",,""
Sci-Fi,00380-Sci-Fi.jpg,Futuristic,Éclair,pastry,"sci-fi style a single caramel éclair on a fancy plate, fine pastry . futuristic, technological, alien worlds, space themes, advanced civilizations","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval",,""
Vaporwave,00381-Vaporwave.jpg,Futuristic,Éclair,pastry,"vaporwave style a single caramel éclair on a fancy plate, fine pastry . retro aesthetic, cyberpunk, vibrant, neon colors, vintage 80s and 90s style, highly detailed","monochrome, muted colors, realism, rustic, minimalist, dark",,""
Bubble Bobble,00382-Bubble Bobble.jpg,Game,Éclair,pastry,"Bubble Bobble style a single caramel éclair on a fancy plate, fine pastry . 8-bit, cute, pixelated, fantasy, vibrant, reminiscent of Bubble Bobble game","realistic, modern, photorealistic, violent, horror",,""
Cyberpunk 2077,00383-Cyberpunk Game.jpg,Game,Éclair,pastry,"cyberpunk game style a single caramel éclair on a fancy plate, fine pastry . neon, dystopian, futuristic, digital, vibrant, detailed, high contrast, reminiscent of cyberpunk genre video games","historical, natural, rustic, low detailed",,""
Fighting Game,00384-Fighting Game.jpg,Game,Éclair,pastry,"Fighting game style a single caramel éclair on a fancy plate, fine pastry . Dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games","peaceful, calm, minimalist, photorealistic",,""
Fortnite,00385-Fortnite Art Style.jpg,Game,Éclair,pastry,"Fortnite Art Style, a single caramel éclair on a fancy plate, fine pastry, 3D cartoon, colorful, Fortnite Art Style","ugly, deformed, noisy, blurry, low contrast, photo, realistic",,""
GTA,00386-GTA.jpg,Game,Éclair,pastry,"GTA-style artwork a single caramel éclair on a fancy plate, fine pastry . Satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed","realistic, black and white, low contrast, impressionist, cubist, noisy, blurry, deformed",,""
Legend of Zelda,00387-Legend of Zelda.jpg,Game,Éclair,pastry,"Legend of Zelda style a single caramel éclair on a fancy plate, fine pastry . Vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series","sci-fi, modern, realistic, horror",,""
Minecraft,00388-Minecraft.jpg,Game,Éclair,pastry,"Minecraft style a single caramel éclair on a fancy plate, fine pastry . Blocky, pixelated, vibrant colors, recognizable characters and objects, game assets","smooth, realistic, detailed, photorealistic, noise, blurry, deformed",,""
Pokémon,00389-Pokémon.jpg,Game,Éclair,pastry,"Pokémon style a single caramel éclair on a fancy plate, fine pastry . Vibrant, cute, anime, fantasy, reminiscent of Pokémon series","realistic, modern, horror, dystopian, violent",,""
PS1,00390-PS1.jpg,Game,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:ps1_style_SDXL_v2:1> ps1 style","",,"PS1 Graphics SDXL"
Retro Arcade,00391-Retro Arcade.jpg,Game,Éclair,pastry,"Retro arcade style a single caramel éclair on a fancy plate, fine pastry . 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games","modern, ultra-high resolution, photorealistic, 3D",,""
Retro Game,00392-Retro Game.jpg,Game,Éclair,pastry,"Retro game art a single caramel éclair on a fancy plate, fine pastry . 16-bit, vibrant colors, pixelated, nostalgic, charming, fun","realistic, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
RPG Fantasy Game,00393-RPG Fantasy Game.jpg,Game,Éclair,pastry,"Role-playing game (RPG) style fantasy a single caramel éclair on a fancy plate, fine pastry . Detailed, vibrant, immersive, reminiscent of high fantasy RPG games","sci-fi, modern, urban, futuristic, low detailed",,""
Strategy Game,00394-Strategy Game.jpg,Game,Éclair,pastry,"Strategy game style a single caramel éclair on a fancy plate, fine pastry . Overhead view, detailed map, units, reminiscent of real-time strategy video games","first-person view, modern, photorealistic",,""
Street Fighter,00395-Street Fighter.jpg,Game,Éclair,pastry,"Street Fighter style a single caramel éclair on a fancy plate, fine pastry . Vibrant, dynamic, arcade, 2D fighting game, highly detailed, reminiscent of Street Fighter series","3D, realistic, modern, photorealistic, turn-based strategy",,""
Super Mario,00396-Super Mario.jpg,Game,Éclair,pastry,"Super Mario style a single caramel éclair on a fancy plate, fine pastry . Vibrant, cute, cartoony, fantasy, playful, reminiscent of Super Mario series","realistic, modern, horror, dystopian, violent",,""
Voxel,00397-Voxel.jpg,Game,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:VoxelXL_v1:1> voxel style","",,"Voxel XL"
Collage,00398-Collage.jpg,Papercraft,Éclair,pastry,"Collage style a single caramel éclair on a fancy plate, fine pastry . Mixed media, layered, textural, detailed, artistic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Flat Papercut,00399-Flat Papercut.jpg,Papercraft,Éclair,pastry,"Flat papercut style a single caramel éclair on a fancy plate, fine pastry . Silhouette, clean cuts, paper, sharp edges, minimalist, color block","3D, high detail, noise, grainy, blurry, painting, drawing, photo, disfigured",,""
Kirigami,00400-Kirigami.jpg,Papercraft,Éclair,pastry,"Kirigami representation of a single caramel éclair on a fancy plate, fine pastry . 3D, paper folding, paper cutting, Japanese, intricate, symmetrical, precision, clean lines","painting, drawing, 2D, noisy, blurry, deformed",,""
Paper Mache,00401-Paper Mache.jpg,Papercraft,Éclair,pastry,"Paper mache representation of a single caramel éclair on a fancy plate, fine pastry . 3D, sculptural, textured, handmade, vibrant, fun","2D, flat, photo, sketch, digital art, deformed, noisy, blurry",,""
Paper Quilling,00402-Paper Quilling.jpg,Papercraft,Éclair,pastry,"Paper quilling art of a single caramel éclair on a fancy plate, fine pastry . Intricate, delicate, curling, rolling, shaping, coiling, loops, 3D, dimensional, ornamental","photo, painting, drawing, 2D, flat, deformed, noisy, blurry",,""
Papercut Collage,00403-Papercut Collage.jpg,Papercraft,Éclair,pastry,"Papercut collage of a single caramel éclair on a fancy plate, fine pastry . Mixed media, textured paper, overlapping, asymmetrical, abstract, vibrant","photo, 3D, realistic, drawing, painting, high detail, disfigured",,""
Papercut Shadow Box,00404-Papercut Shadow Box.jpg,Papercraft,Éclair,pastry,"3D papercut shadow box of a single caramel éclair on a fancy plate, fine pastry . Layered, dimensional, depth, silhouette, shadow, papercut, handmade, high contrast","painting, drawing, photo, 2D, flat, high detail, blurry, noisy, disfigured",,""
